СОРТ ПИВА,ПИВОВАРНЯ,РЕЙТИНГ,ИЗМЕНЕНИЕ,ЧЕКИНОВ
Seven Brewers (Семь Пивоваров) Cheshskoe Bar Beer (Чешское Для Баров),Varnitsa (Варница),2.11,↑ +251,11
Rizhskoe Originalnoe (Рижское Оригинальное),Zavod Trehsosensky (Завод Трехсосенский),2.12,↓ --173,16
Coffee And Passion Cider,Ashram Cider,2.12,↑ +429,2
Zhigulevskoe Barnoe (Жигулевское Барное),Vyatich (Вятич),2.12,–,2
Forget-Me-Not,Mookhomor Production,2.12,↑ +470,2
Cheshskoe (Чешское),Vyatich (Вятич),2.12,↑ +370,2
Empire State Of Mind,GAS Brew,2.12,↑ +372,4
Чепецкое Ретро,Glazovskiy Pivovarennyi Zavod (Глазовский Пивоваренный Завод),2.12,–,2
Елаха Медовая,Бородино / ПК Возрождение,2.12,↑ +259,2
Arsenalnoe Traditsionnoe (Арсенальное Традиционное),Baltika Breweries (Балтика),2.12,–,4
Охота Лондонский Портер безалкогольное,Heineken Brewery (Объединенные Пивоварни Хейнекен),2.12,↑ +390,8
Milk Stout,ТАРКОС BREWLAB,2.14,↑ +1188,11
Žatecký Gus Rubinovy,Baltika Breweries (Балтика),2.15,–,34
Schlosskeller Pilsener,Белый Кремль (Bely Kreml),2.15,↓ --51,30
Балтика 7 Мягкое,Baltika Breweries (Балтика),2.15,–,23
The Art of Lost Toys P.I,Victory Art Brew,2.16,–,8
Gold Mine Beer,AB InBev Efes,2.16,–,8
Xvost Za Xvost,LiS Brew,2.16,↓ --113,19
Kruzhechka Cheshskogo Svetle (Кружечка Чешского Светлое),Moscow Brewing Company (Московская Пивоваренная Компания),2.16,↑ +615,36
Lost Tape,Khoffner Brewery,2.17,↑ +2695,3
Varim Suslo (Варим Сусло Нефильтрованное),Zavod Trehsosensky (Завод Трехсосенский),2.18,↑ +216,11
Weiss Berg Вишня,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),2.19,↑ +503,4
Leningradskoe (Ленинградское),Baltika Breweries (Балтика),2.19,–,4
Lakinskoe Svetloe (Лакинское Светлое),Lakinsky Pivzavod (Лакинский Пивзавод),2.19,↑ +724,4
Дон ледяная фильтрация,Baltika Breweries (Балтика),2.19,–,4
Seasol,ТАРКОС (TARKOS),2.19,↑ +292,4
HopHead Wheat Ale ,Hophead Brewery,2.2,–,5
Бояринъ крепкое,Deka (Дека),2.2,↓ --53,5
Sibirskaya Korona Krepkoe (Сибирская Корона Крепкое),AB InBev Efes,2.2,–,5
Bolshaya Kruzhka Cheshskoe (Большая Кружка Чешское),Baltika Breweries (Балтика),2.2,–,5
Yachmennoe Pole (Ячменное Поле),Zavod Trehsosensky (Завод Трехсосенский),2.21,↑ +221,6
Apple + Elderberry,Appleton Ciders,2.21,↓ --92,6
Варварка Пивоварка,Baltika Breweries (Балтика),2.21,–,6
Dr. Diesel Cool Mix Лайм-Киви,Heineken Brewery (Объединенные Пивоварни Хейнекен),2.22,↓ --138,15
Zhigulevskoe (Жигулевское),Afanasy (Афанасий),2.22,↑ +168,8
Zolotaya Bochka Klassicheskoe (Золотая Бочка Классическое),AB InBev Efes,2.23,↑ +88,16
